dim_age,dim_gender,dim_product_category,dim_season,dim_location,dim_item_purchased,meas_store_visits_per_month,meas_total_spending,dim_online_shopping,meas_membership_duration,meas_discount_usage,dim_preferred_payment_method,meas_days_since_last_purchase,meas_loyalty_points,meas_average_basket_size,meas_annual_income,meas_purchase_frequency,dim_preferred_product_category,meas_satisfaction_score,meas_cross_channel_shopping,dim_order_date
55.0,Male,Clothing,Winter,Kentucky,Blouse,14.0,7719.0,No,23.0,5.0,Credit Card,4.0,65.0,7.0,75404.0,9.0,Clothing,3.83,True,03-11-2022
19.0,Male,Clothing,Winter,Maine,Sweater,6.0,8764.0,No,9.0,5.0,Cash,16.0,1.0,6.0,54493.0,5.0,Footwear,4.45,False,25-10-2022
50.0,Male,Clothing,Spring,Massachusetts,Jeans,16.0,9707.0,No,15.0,3.0,Debit Card,24.0,27.0,7.0,87071.0,9.0,Clothing,4.42,False,26-10-2022
21.0,Male,Footwear,Spring,Rhode Island,Sandals,16.0,3087.0,Yes,14.0,8.0,Credit Card,11.0,32.0,9.0,107929.0,8.0,Outerwear,4.62,False,29-04-2023
45.0,Male,Clothing,Spring,Oregon,Blouse,18.0,5799.0,No,2.0,5.0,Mobile Wallet,10.0,78.0,1.0,108954.0,3.0,Accessories,1.56,True,05-03-2023
46.0,Male,Footwear,Summer,Wyoming,Sneakers,8.0,2601.0,No,13.0,5.0,Credit Card,28.0,66.0,2.0,103631.0,10.0,Clothing,4.72,True,05-06-2022
63.0,Male,Clothing,Fall,Montana,Shirt,6.0,169.0,Yes,19.0,3.0,Credit Card,20.0,30.0,3.0,102120.0,2.0,Footwear,3.5,True,10-08-2023
27.0,Male,Clothing,Winter,Louisiana,Shorts,18.0,4888.0,Yes,24.0,3.0,Credit Card,29.0,43.0,6.0,68690.0,5.0,Clothing,3.31,True,14-02-2023
26.0,Male,Outerwear,Summer,West Virginia,Coat,1.0,8769.0,Yes,10.0,1.0,Mobile Wallet,29.0,32.0,8.0,100775.0,1.0,Clothing,4.31,False,17-12-2023
57.0,Male,Accessories,Spring,Missouri,Handbag,17.0,6894.0,Yes,15.0,10.0,Debit Card,29.0,90.0,4.0,38118.0,6.0,Outerwear,3.4,True,05-11-2023
53.0,Male,Footwear,Fall,Arkansas,Shoes,3.0,3866.0,No,7.0,3.0,Credit Card,6.0,91.0,1.0,46877.0,2.0,Outerwear,4.55,False,12-03-2022
30.0,Male,Clothing,Winter,Hawaii,Shorts,18.0,4954.0,No,19.0,4.0,Mobile Wallet,14.0,11.0,6.0,46961.0,2.0,Footwear,4.17,True,28-07-2023
61.0,Male,Outerwear,Winter,Delaware,Coat,7.0,1107.0,No,8.0,9.0,Mobile Wallet,15.0,49.0,6.0,90237.0,3.0,Accessories,4.75,False,31-12-2022
65.0,Male,Clothing,Spring,New Hampshire,Dress,11.0,2717.0,No,15.0,10.0,Mobile Wallet,20.0,12.0,4.0,55336.0,7.0,Clothing,1.92,True,15-11-2022
64.0,Male,Outerwear,Winter,New York,Coat,2.0,2634.0,Yes,18.0,5.0,Mobile Wallet,14.0,95.0,10.0,83179.0,1.0,Footwear,2.88,True,03-06-2023
64.0,Male,Clothing,Winter,Rhode Island,Skirt,11.0,9771.0,No,2.0,2.0,Mobile Wallet,10.0,18.0,4.0,86618.0,5.0,Footwear,2.76,True,25-04-2022
25.0,Male,Accessories,Spring,Alabama,Sunglasses,9.0,4953.5,No,3.0,6.0,Cash,25.0,9.0,7.0,75473.0,4.0,Outerwear,3.81,False,26-05-2023
53.0,Male,Clothing,Winter,Mississippi,Dress,8.0,866.0,Yes,16.0,5.0,Mobile Wallet,12.0,27.0,2.0,42271.0,5.0,Clothing,4.2,True,14-04-2023
52.0,Male,Clothing,Summer,Montana,Sweater,11.0,2409.0,No,8.0,1.0,Mobile Wallet,21.0,30.0,8.0,33176.0,3.0,Accessories,2.18,False,14-03-2022
