customer_id,age,gender,category,season,location,item_purchased,store_visits_per_month,total_spending,online_shopping,membership_duration,discount_usage,preferred_payment_method,days_since_last_purchase,loyalty_points,average_basket_size,annual_income,purchase_frequency,preferred_product_category,satisfaction_score,cross_channel_shopping
1,55,Male,Clothing,Winter,Kentucky,Blouse,14,7719,No,23,5,Credit Card,4,65,7,75404,9,Clothing,3.83,TRUE
2,19,Male,Clothing,Winter,Maine,Sweater,6,8764,No,9,5,Cash,16,1,6,54493,5,Footwear,4.45,FALSE
3,50,Male,Clothing,Spring,Massachusetts,Jeans,16,9707,No,15,3,Debit Card,24,27,7,87071,9,Clothing,4.42,FALSE
4,21,Male,Footwear,Spring,Rhode Island,Sandals,16,3087,Yes,14,8,Credit Card,11,32,9,107929,8,Outerwear,4.62,FALSE
5,45,Male,Clothing,Spring,Oregon,Blouse,18,5799,No,2,5,Mobile Wallet,10,78,1,108954,3,Accessories,1.56,TRUE
6,46,Male,Footwear,Summer,Wyoming,Sneakers,8,2601,No,13,5,Credit Card,28,66,2,103631,10,Clothing,4.72,TRUE
7,63,Male,Clothing,Fall,Montana,Shirt,6,169,Yes,19,3,Credit Card,20,30,3,102120,2,Footwear,3.5,TRUE
8,27,Male,Clothing,Winter,Louisiana,Shorts,18,4888,Yes,24,3,Credit Card,29,43,6,68690,5,Clothing,3.31,TRUE
9,26,Male,Outerwear,Summer,West Virginia,Coat,1,8769,Yes,10,1,Mobile Wallet,29,32,8,100775,1,Clothing,4.31,FALSE
10,57,Male,Accessories,Spring,Missouri,Handbag,17,6894,Yes,15,10,Debit Card,29,90,4,38118,6,Outerwear,3.4,TRUE
11,53,Male,Footwear,Fall,Arkansas,Shoes,3,3866,No,7,3,Credit Card,6,91,1,46877,2,Outerwear,4.55,FALSE
12,30,Male,Clothing,Winter,Hawaii,Shorts,18,4954,No,19,4,Mobile Wallet,14,11,2,46961,2,Footwear,4.17,TRUE
13,61,Male,Outerwear,Winter,Delaware,Coat,7,1107,No,8,9,Mobile Wallet,15,49,6,90237,3,Accessories,4.75,FALSE
14,65,Male,Clothing,Spring,New Hampshire,Dress,11,2717,No,15,10,Mobile Wallet,20,12,4,55336,7,Clothing,1.92,TRUE
15,64,Male,Outerwear,Winter,New York,Coat,2,2634,Yes,18,5,Mobile Wallet,14,95,10,83179,1,Footwear,2.88,TRUE
